Date,Open,High,Low,Close,Adj Close,Volume
2021-12-22,3624.000000,3636.800049,3606.250000,3630.750000,3581.383789,1224328
2021-12-23,3648.000000,3670.500000,3630.000000,3662.699951,3612.899414,1792861
2021-12-24,3685.000000,3705.000000,3644.800049,3670.899902,3620.987793,2209923
2021-12-27,3671.000000,3700.000000,3653.100098,3696.100098,3645.845459,1534135
2021-12-28,3710.000000,3725.000000,3693.850098,3706.550049,3656.153076,1456218
2021-12-29,3692.250000,3719.949951,3685.000000,3694.699951,3644.464111,1456923
2021-12-30,3681.350098,3740.000000,3680.000000,3733.750000,3682.983398,1966475
2021-12-31,3742.800049,3760.000000,3731.300049,3738.350098,3687.520996,1207141
2022-01-03,3750.000000,3830.000000,3745.000000,3817.750000,3765.841309,2346158
2022-01-04,3831.100098,3889.149902,3811.699951,3884.750000,3831.930664,2488606
2022-01-05,3865.000000,3870.000000,3812.399902,3860.949951,3808.453857,1733031
2022-01-06,3812.000000,3835.000000,3772.000000,3807.449951,3755.681152,1810293
2022-01-07,3820.000000,3864.899902,3796.399902,3853.500000,3801.105469,2460591
2022-01-10,3978.000000,3978.000000,3861.000000,3879.850098,3827.097168,3937092
2022-01-11,3856.000000,3925.000000,3856.000000,3915.899902,3862.656494,1906106
2022-01-12,3925.000000,3929.000000,3836.550049,3859.899902,3807.418457,3203744
2022-01-13,3918.000000,3923.000000,3857.000000,3897.899902,3844.901367,6684507
2022-01-14,3877.850098,3977.000000,3860.050049,3968.149902,3914.196289,3348123
2022-01-17,3992.699951,4043.000000,3962.300049,4019.149902,3964.502686,3442604
2022-01-18,4033.949951,4041.699951,3980.000000,3990.600098,3936.341309,2389041
2022-01-19,4012.000000,4012.000000,3910.500000,3914.649902,3868.208740,3102539
2022-01-20,3910.000000,3920.000000,3811.000000,3826.550049,3781.154297,6176776
2022-01-21,3807.000000,3851.550049,3771.100098,3833.500000,3788.021729,3112358
2022-01-24,3840.000000,3849.649902,3740.100098,3771.350098,3726.608887,3258414
2022-01-25,3769.500000,3809.399902,3722.199951,3769.899902,3725.176270,3330501
2022-01-27,3731.000000,3733.399902,3625.100098,3649.250000,3605.957764,5718297
2022-01-28,3646.000000,3729.800049,3646.000000,3690.050049,3646.273682,3143862
